"region","year","cases"
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2013,4
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2014,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2015,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2016,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2017,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2018,1
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2019,0
"CAF.1_1,CAF.10_1,CAF.11_1,CAF.12_1,CAF.13_1,CAF.14_1,CAF.15_1,CAF.16_1,CAF.17_1,CAF.2_1,CAF.3_1,CAF.4_1,CAF.5_1,CAF.6_1,CAF.7_1,CAF.8_1,CAF.9_1",2020,165
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2000,0
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2001,80
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2002,158
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2003,1
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2004,0
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2005,2
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2006,2
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2007,0
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2008,14
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2009,22
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2010,49
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2011,10
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2012,5
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2013,6
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2014,21
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2015,15
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2016,3
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2017,11
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2018,2
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2019,165
"CIV.1_1,CIV.10_1,CIV.11_1,CIV.12_1,CIV.13_1,CIV.14_1,CIV.2_1,CIV.3_1,CIV.4_1,CIV.5_1,CIV.6_1,CIV.7_1,CIV.8_1,CIV.9_1",2020,12
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2000,0
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2001,0
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2002,0
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2003,2
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2004,3
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2005,2
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2006,1
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2007,2
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2008,2
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2009,8
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2010,16
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2011,29
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2012,31
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2013,15
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2014,3
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2015,2
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2016,61
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2017,4
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2018,5
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2019,22
"CMR.1_1,CMR.10_1,CMR.2_1,CMR.3_1,CMR.4_1,CMR.5_1,CMR.6_1,CMR.7_1,CMR.8_1,CMR.9_1",2020,6
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2000,0
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2001,36
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2002,0
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2003,18
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2004,1192
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2005,140
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2006,81
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2007,204
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2008,113
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2009,0
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2010,289
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2011,195
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2012,1
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2013,0
