region,year,cases,deaths
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2000,5,4
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2001,8,4
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2002,20,9
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2003,108,49
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2004,34,13
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2005,20,13
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2006,5,5
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2007,6,6
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2008,3,3
"COL.1_1,COL.10_1,COL.11_1,COL.12_1,COL.13_1,COL.14_1,COL.15_1,COL.16_1,COL.17_1,COL.18_1,COL.19_1,COL.2_1,COL.20_1,COL.21_1,COL.22_1,COL.23_1,COL.24_1,COL.25_1,COL.27_1,COL.28_1,COL.29_1,COL.3_1,COL.30_1,COL.31_1,COL.32_1,COL.4_1,COL.5_1,COL.6_1,COL.7_1,COL.8_1,COL.9_1",2009,5,2
